"stolen_date","brand","model","color","stolen_from","recovery","Year","Month","Day"
"03/31/2022","SCCY","CPX-2","BLU","RESIDENCE","NOT RECOVERED","2022","03","31"
"03/28/2022","CENTURY ARMS",NA,"BLK","HIGHWAY/ROAD/ALLEY","RECOVERED LOCALLY","2022","03","28"
"03/22/2022","TAURUS","G2C","BLK","RESIDENCE","NOT RECOVERED","2022","03","22"
"03/22/2022","SMITH & WESSON","SC40","BLK","RESIDENCE","NOT RECOVERED","2022","03","22"
"03/15/2022","TAURUS","G2C 9MM",NA,"RESIDENCE","NOT RECOVERED","2022","03","15"
"03/12/2022","REMINGTON","PUMP","BRO","RESIDENCE","NOT RECOVERED","2022","03","12"
"03/12/2022","BROWNING","AUTO","BRO","RESIDENCE","NOT RECOVERED","2022","03","12"
"03/12/2022","BROWNING","PUMP","BRO","RESIDENCE","NOT RECOVERED","2022","03","12"
"03/12/2022","GLOCK","19X","BGE","RESIDENCE","NOT RECOVERED","2022","03","12"
"03/12/2022","GLOCK",".380 54X SUB","BLK","RESIDENCE","NOT RECOVERED","2022","03","12"
"03/12/2022","TAURAS","9MM SUB COMPACT","BLK","RESIDENCE","NOT RECOVERED","2022","03","12"
"03/11/2022","BERSA","THUNDER 9",NA,"RESIDENCE","NOT RECOVERED","2022","03","11"
"03/11/2022","TAURUS","G2C",NA,"RESIDENCE","NOT RECOVERED","2022","03","11"
"02/08/2022","RUGER",NA,NA,"LT07","NOT RECOVERED","2022","02","08"
"12/19/2021","SCCY","CPX-2TTPURD",NA,"RESIDENCE","RECOVERED OTHER","2021","12","19"
"12/17/2021","TAURUS","G2",NA,"BAR/NIGHTCLUB","NOT RECOVERED","2021","12","17"
"12/16/2021",NA,NA,"PNK","RESIDENCE","NOT RECOVERED","2021","12","16"
"12/04/2021","TAURUS","G2C","BLK","RESIDENCE","NOT RECOVERED","2021","12","04"
"11/24/2021","DIAMOND",NA,"BLK","LT02","NOT RECOVERED","2021","11","24"
"11/07/2021","SARASILMAZ",".45MM","SIL","RESIDENCE","NOT RECOVERED","2021","11","07"
"11/07/2021","SMITH & WESSON","9MM",NA,"RESIDENCE","RECOVERED LOCALLY","2021","11","07"
"11/07/2021","AERO PRECISION","556 CALIBER","BLK","RESIDENCE","NOT RECOVERED","2021","11","07"
"11/07/2021","TACTICAL EDGE","9MM CALIBER","BLK","RESIDENCE","NOT RECOVERED","2021","11","07"
"11/04/2021","CANIK","TP 9SF","BLK","RESIDENCE","NOT RECOVERED","2021","11","04"
"11/03/2021","SIG SAUER","SP2022","BLK","HOTEL/MOTEL","NOT RECOVERED","2021","11","03"
"10/30/2021","RUGER","EC9",NA,"RESIDENCE","NOT RECOVERED","2021","10","30"
"10/27/2021","SMITH & WESSON",".40 CALIBER","BLK","RESIDENCE","NOT RECOVERED","2021","10","27"
"10/27/2021","STEVENS 320","20 GAUGE","BLK","RESIDENCE","NOT RECOVERED","2021","10","27"
"10/27/2021","DELTON","DTI 15","BLK","RESIDENCE","NOT RECOVERED","2021","10","27"
"10/24/2021","TAURUS","G2C",NA,"RESIDENCE","NOT RECOVERED","2021","10","24"
"10/17/2021","GLOCK","43X","BLK","RESIDENCE","RECOVERED LOCALLY","2021","10","17"
"10/13/2021","RUGER",NA,"SIL","RESIDENCE","RECOVERED LOCALLY","2021","10","13"
"09/30/2021","TAURUS","PT111G2A","BLK","RESIDENCE","NOT RECOVERED","2021","09","30"
"09/01/2021","RUGER","9MM","TEA","RESIDENCE","NOT RECOVERED","2021","09","01"
"08/22/2021","GLOCK 19",NA,NA,"RESIDENCE","NOT RECOVERED","2021","08","22"
"08/02/2021","GLOCK","380","BLK","COMMERCIAL/OFFICE BUILDING","NOT RECOVERED","2021","08","02"
"08/02/2021","MOSSBERG",NA,"BRO","COMMERCIAL/OFFICE BUILDING","RECOVERED LOCALLY","2021","08","02"
"07/23/2021","GLOCK","42","BLK","BAR/NIGHTCLUB","NOT RECOVERED","2021","07","23"
"07/19/2021","GLOCK","40",NA,"RESIDENCE","NOT RECOVERED","2021","07","19"
"07/18/2021","GLOCK","43","BLK","RESIDENCE","RECOVERED LOCALLY","2021","07","18"
"07/14/2021","PHOENIX ARMS","HP22A","BLK","RESIDENCE","NOT RECOVERED","2021","07","14"
"06/24/2021","TAURUS",NA,"BLK","RESIDENCE","NOT RECOVERED","2021","06","24"
"06/22/2021","GLOCK","G30 GEN 4",NA,"COMMERCIAL/OFFICE BUILDING","NOT RECOVERED","2021","06","22"
"06/12/2021","SMITH & WESSON",NA,"BLK","RESIDENCE","NOT RECOVERED","2021","06","12"
"05/29/2021","SIG SAUER","P226","TAN","RESIDENCE","NOT RECOVERED","2021","05","29"
"05/29/2021","RUGER","LC9","PNK","SPECIALITY STORE","RECOVERED OTHER","2021","05","29"
"05/24/2021","HERITAGE",NA,NA,"RESIDENCE","NOT RECOVERED","2021","05","24"
"05/21/2021","SMITH & WESSON","SD",NA,"RESIDENCE","NOT RECOVERED","2021","05","21"
"05/07/2021","GLOCK","43X","BLK","RESIDENCE","NOT RECOVERED","2021","05","07"
"04/20/2021","SIG",NA,NA,"RESIDENCE","NOT RECOVERED","2021","04","20"
"03/18/2021","SIG SAUER",NA,"BLK","RESIDENCE","NOT RECOVERED","2021","03","18"
"03/14/2021","SIG SAUER","637 .38 SPECIAL",NA,"OTHER/UNKNOWN","NOT RECOVERED","2021","03","14"
"03/10/2021","TAURUS","PT-25",NA,"COMMERCIAL/OFFICE BUILDING","NOT RECOVERED","2021","03","10"
"03/02/2021","GLOCK 17","GEN 5","BLK","RESIDENCE","NOT RECOVERED","2021","03","02"
